id,fecha,ejercicio,sets,reps,peso,nota
4,2026-06-08,Press de banca,2,12,51.5,Normal
5,2025-08-29,Press de banca,3,15,96.5,RPE 9
6,2026-06-29,Sentadilla búlgara,5,8,23.5,Normal
7,2026-05-16,Fondos lastrados,4,14,77.5,Fallo cerca
8,2026-07-09,Sentadilla búlgara,3,7,133.5,Fácil
9,2026-04-24,Curl de bíceps,3,4,81.5,Fallo cerca
10,2026-03-27,Fondos lastrados,1,4,64.0,Fácil
11,2026-01-20,Press de banca,3,13,122.0,RPE 9
12,2025-11-12,Fondos lastrados,1,13,18.0,RPE 8
13,2026-02-14,Curl de bíceps,4,4,139.5,Fallo cerca
14,2025-08-14,Hip thrust,4,12,102.0,RPE 8
15,2026-03-07,Remo con barra,4,14,90.5,Buena técnica
16,2026-02-02,Press francés,2,1,63.0,Buen estímulo
17,2026-03-02,Hip thrust,3,1,85.5,RPE 9
18,2025-08-29,Peso muerto,5,7,119.0,Normal
19,2025-09-18,Remo con barra,2,13,95.5,Fallo cerca
20,2026-06-04,Hip thrust,5,5,94.0,Fácil
21,2026-07-18,Sentadilla,3,5,102.5,Fallo cerca
22,2026-04-22,Hip thrust,4,15,68.5,Buen estímulo
23,2026-03-13,Curl de bíceps,5,9,141.0,Fallo cerca
24,2025-10-21,Elevaciones laterales,1,3,113.0,Buena técnica
25,2025-08-09,Sentadilla búlgara,1,12,93.0,Pesado
26,2025-09-10,Hip thrust,3,2,86.5,Normal
27,2025-07-22,Sentadilla,1,10,104.5,Normal
28,2026-04-29,Press militar,5,9,78.0,Buena técnica
29,2025-07-26,Press militar,3,3,119.0,Fácil
30,2025-12-21,Curl de bíceps,1,10,110.5,Pesado
31,2025-08-17,Sentadilla búlgara,5,2,85.0,Buen estímulo
32,2026-01-29,Remo con barra,2,1,67.5,RPE 9
33,2026-01-23,Sentadilla búlgara,5,3,74.5,Buen estímulo
34,2025-10-11,Press de banca,3,8,63.5,Fácil
35,2026-04-23,Sentadilla,4,9,105.0,RPE 8
36,2026-03-03,Peso muerto,4,9,94.0,Pesado
37,2026-06-04,Hip thrust,2,12,88.5,Normal
38,2026-06-08,Remo con barra,5,6,53.0,RPE 8
39,2026-07-08,Sentadilla búlgara,1,8,45.5,Pesado
40,2025-11-20,Curl de bíceps,4,14,14.5,RPE 8
41,2025-08-29,Fondos lastrados,3,13,94.5,Normal
42,2026-01-10,Press de banca,4,5,49.5,RPE 8
43,2026-02-16,Press de banca,3,6,47.0,RPE 8
44,2026-01-25,Curl de bíceps,3,11,142.0,Pesado
45,2026-06-25,Sentadilla búlgara,5,13,80.5,Fácil
46,2025-07-27,Sentadilla,3,6,119.0,Fallo cerca
47,2026-04-27,Dominadas lastradas,1,12,36.5,Fácil
48,2026-02-09,Elevaciones laterales,4,5,23.5,Fácil
49,2026-04-13,Fondos lastrados,5,8,137.5,Buena técnica
50,2025-10-07,Hip thrust,5,3,86.5,RPE 8
51,2026-06-23,Press de banca,3,10,150.0,Fácil
52,2026-05-11,Elevaciones laterales,1,4,100.0,Normal
53,2026-07-12,Press de banca,3,5,133.0,Buen estímulo
54,2026-04-20,Curl de bíceps,2,11,111.0,Fallo cerca
55,2026-03-27,Remo con barra,1,7,140.0,Fallo cerca
56,2025-08-02,Fondos lastrados,2,10,55.0,RPE 8
57,2026-05-31,Press militar,4,14,78.5,Normal
58,2025-08-23,Hip thrust,4,1,73.0,Fácil
59,2026-06-24,Press francés,3,5,14.5,RPE 8
60,2025-10-10,Fondos lastrados,3,8,24.0,Buena técnica
61,2025-11-17,Remo con barra,1,14,78.0,Normal
62,2025-07-26,Remo con barra,2,1,27.5,Buen estímulo
63,2026-04-20,Press militar,4,5,65.0,RPE 9
64,2026-07-03,Sentadilla búlgara,2,9,76.0,Buen estímulo
65,2025-08-07,Curl de bíceps,2,7,110.5,RPE 9
66,2026-02-22,Dominadas lastradas,3,15,78.0,RPE 9
67,2026-06-04,Peso muerto,4,7,123.0,RPE 8
68,2026-03-21,Peso muerto,5,8,58.0,RPE 8
69,2026-01-06,Hip thrust,2,13,131.0,Normal
70,2026-05-30,Press francés,1,12,51.5,Pesado
71,2026-05-21,Sentadilla,2,12,124.5,Fallo cerca
72,2026-06-26,Press de banca,2,3,93.5,Fácil
73,2026-04-06,Hip thrust,5,7,83.5,Pesado
74,2026-01-06,Remo con barra,2,9,89.0,Pesado
75,2026-04-06,Press militar,5,6,127.5,Buena técnica
76,2025-09-18,Peso muerto,5,15,70.5,RPE 8
77,2025-12-21,Curl de bíceps,4,11,129.5,Fácil
78,2026-06-04,Remo con barra,4,15,70.0,Normal
79,2025-07-20,Press militar,3,9,99.5,Buen estímulo
80,2026-04-17,Peso muerto,2,9,39.5,Pesado
81,2026-02-17,Peso muerto,1,6,130.5,Pesado
82,2026-06-20,Hip thrust,4,14,146.0,Buen estímulo
83,2025-12-05,Dominadas lastradas,1,1,95.0,Normal
84,2026-06-10,Press militar,1,11,143.5,Buen estímulo
85,2025-09-30,Press de banca,2,2,34.5,Buena técnica
86,2026-06-17,Sentadilla,4,5,91.0,Buen estímulo
87,2025-07-21,Remo con barra,4,8,88.0,Fácil
88,2025-12-05,Sentadilla búlgara,2,15,73.0,Normal
89,2026-06-20,Press militar,3,13,148.0,Buen estímulo
90,2025-11-10,Press militar,4,4,43.0,Normal
91,2026-03-29,Dominadas lastradas,1,7,37.0,RPE 8
92,2026-03-05,Press militar,2,6,26.0,Buena técnica
93,2026-06-02,Sentadilla,2,5,66.0,RPE 9
94,2026-01-25,Sentadilla búlgara,3,12,102.5,Buena técnica
95,2026-05-02,Dominadas lastradas,1,12,49.5,Buena técnica
96,2026-07-12,Press de banca,1,2,57.0,Fácil
97,2026-04-21,Remo con barra,5,10,112.0,Pesado
98,2026-02-19,Dominadas lastradas,2,9,116.5,RPE 8
99,2025-10-04,Press de banca,5,8,85.5,Pesado
100,2025-08-31,Peso muerto,3,11,146.5,Normal
101,2025-11-07,Elevaciones laterales,1,8,70.5,Fácil
102,2025-08-31,Sentadilla búlgara,4,10,74.5,Buen estímulo
103,2025-08-20,Press de banca,5,4,55.5,RPE 9
104,2026-02-22,Elevaciones laterales,5,11,47.0,RPE 9
105,2025-11-21,Peso muerto,2,4,54.5,Fácil
106,2025-11-23,Sentadilla búlgara,4,8,133.5,RPE 9
107,2025-10-02,Curl de bíceps,5,8,62.5,Pesado
108,2025-11-23,Press francés,2,2,90.0,Normal
109,2026-04-01,Hip thrust,2,4,149.0,RPE 9
110,2026-04-07,Press de banca,2,14,77.5,Buena técnica
111,2026-05-24,Press de banca,2,13,108.5,RPE 8
112,2026-03-09,Dominadas lastradas,3,6,26.5,Buen estímulo
113,2025-08-08,Press francés,5,11,145.0,Fallo cerca
114,2026-02-15,Peso muerto,4,13,129.0,RPE 8
115,2026-02-02,Sentadilla,3,12,119.0,Buen estímulo
116,2026-07-18,Press de banca,4,12,86.5,Normal
117,2026-04-02,Elevaciones laterales,2,3,97.0,Pesado
118,2026-02-24,Dominadas lastradas,4,13,116.5,Buena técnica
119,2025-08-31,Press militar,3,9,103.5,Fallo cerca
120,2026-06-25,Fondos lastrados,4,13,138.0,Pesado
121,2025-08-31,Peso muerto,5,3,142.0,Normal
122,2025-12-17,Peso muerto,1,2,23.0,Buena técnica
123,2026-04-14,Press de banca,2,5,30.5,Fácil
124,2025-11-17,Peso muerto,4,8,57.5,Buena técnica
125,2026-06-22,Sentadilla,1,2,71.0,Pesado
126,2026-01-09,Sentadilla,5,9,78.0,Buen estímulo
127,2026-07-10,Curl de bíceps,1,12,57.5,Normal
128,2025-09-08,Sentadilla búlgara,1,11,79.0,RPE 9
129,2026-06-06,Hip thrust,3,7,59.5,Fácil
130,2026-05-16,Remo con barra,3,2,45.5,Buen estímulo
131,2025-09-08,Elevaciones laterales,1,4,20.5,Normal
132,2025-10-10,Curl de bíceps,5,6,128.5,RPE 9
133,2026-02-05,Sentadilla búlgara,1,9,45.5,Fácil
134,2025-12-05,Dominadas lastradas,5,15,141.5,Pesado
135,2026-03-01,Press francés,5,8,40.0,Fácil
136,2026-04-02,Sentadilla búlgara,3,5,146.0,Pesado
137,2026-06-22,Curl de bíceps,4,13,32.0,Fácil
138,2025-11-23,Press de banca,4,2,54.5,Fallo cerca
139,2026-02-27,Sentadilla,1,3,60.0,Pesado
140,2025-11-08,Peso muerto,1,8,50.5,Buen estímulo
141,2025-07-29,Peso muerto,1,13,120.0,Normal
142,2025-12-02,Curl de bíceps,5,6,76.5,Fallo cerca
143,2026-06-29,Press francés,5,15,38.0,Fácil
144,2025-11-18,Press francés,1,4,96.5,Buen estímulo
145,2026-07-08,Sentadilla,2,12,140.5,Fallo cerca
146,2026-04-19,Fondos lastrados,5,14,85.0,Buena técnica
147,2025-09-04,Press francés,3,4,107.5,Fácil
148,2026-01-20,Press de banca,4,6,81.5,Buen estímulo
149,2025-08-20,Press francés,3,12,104.5,Buena técnica
150,2026-05-05,Remo con barra,5,12,73.5,Buen estímulo
151,2026-03-24,Sentadilla búlgara,1,15,144.5,Pesado
152,2025-07-24,Curl de bíceps,4,6,69.0,RPE 8
